company_id,employee_count_baseline,company_age_years,industry_biotech,industry_software,location_boston,location_sf,location_nyc,prior_funding,growth_rate_6mo_prior,propensity_score_true,treated,funding_amount,y0_counterfactual,y1_counterfactual,employee_growth_12mo
COMP_0000,18,0.5499034054052309,1,0,0,1,0,1,-0.3,0.31262431072987146,1,6070443.734900442,0.2539498171001343,0.4539498171001343,0.4539498171001343
COMP_0001,10,0.5,0,1,0,0,1,0,0.1856769109328813,0.29154944585232667,0,0.0,0.2756442955494756,0.4756442955494756,0.2756442955494756
COMP_0002,20,3.0353523441123915,1,0,0,0,1,1,0.13654858355540717,0.44232822259302235,0,0.0,0.20994555520725422,0.40994555520725423,0.20994555520725422
COMP_0003,41,3.677384818534798,1,0,1,0,0,0,-0.06353126101991446,0.2727470819298765,0,0.0,0.3314306666548941,0.5314306666548941,0.3314306666548941
COMP_0004,10,0.5,0,1,0,0,0,0,-0.047830940108139486,0.16044963819827804,1,12961476.367998812,0.2967866762399062,0.4967866762399062,0.4967866762399062
COMP_0005,10,8.256582163346726,0,0,0,0,0,0,-0.04546155794520115,0.06146767889356869,0,0.0,-0.070781091907892,0.129218908092108,-0.070781091907892
COMP_0006,43,0.5,0,1,0,0,1,0,0.11658029762109103,0.3569838334387043,0,0.0,0.33402295114714975,0.5340229511471497,0.33402295114714975
COMP_0007,22,2.338052664286866,0,0,1,0,0,1,0.0060527085725489566,0.31122744823617005,0,0.0,0.2703116549589035,0.47031165495890354,0.2703116549589035
COMP_0008,8,3.7039200121837172,0,0,0,0,0,0,0.17410958784632796,0.13029642784528,0,0.0,0.2305899738127728,0.4305899738127728,0.2305899738127728
COMP_0009,18,6.143110657364282,1,0,0,0,1,0,-0.3,0.11433565833449823,0,0.0,-0.15338408516783178,0.04661591483216823,-0.15338408516783178
COMP_0010,8,3.7562024186160787,1,0,0,0,0,1,-0.028527779769169898,0.22990577279115676,0,0.0,0.3149199092400716,0.5149199092400716,0.3149199092400716
COMP_0011,8,4.854347617790178,0,1,0,0,0,1,-0.06890809413665752,0.16806290494398418,0,0.0,0.09917432911375862,0.29917432911375863,0.09917432911375862
COMP_0012,14,1.2440482474393009,0,1,0,0,0,0,0.061548898244126175,0.19629875910233247,0,0.0,0.2003463743008903,0.4003463743008903,0.2003463743008903
COMP_0013,5,5.059363708043771,0,1,0,0,1,1,0.019292836226479232,0.21678191657963897,0,0.0,0.44641241468007725,0.6464124146800773,0.44641241468007725
COMP_0014,5,0.5,0,0,1,0,0,0,0.219676566984365,0.22656399435461708,1,15399718.257039692,0.30415234399018815,0.5041523439901882,0.5041523439901882
COMP_0015,7,6.756150956355649,0,0,0,0,1,1,-0.1789005157490086,0.11408845078376853,0,0.0,-0.025856371480880838,0.1741436285191192,-0.025856371480880838
COMP_0016,5,2.3795150486367884,0,1,0,0,1,0,0.1068237214496128,0.19131739794231614,1,10895171.96142009,0.0007041294558597644,0.20070412945585978,0.20070412945585978
COMP_0017,15,5.099692828996556,1,0,0,0,0,0,0.18375046348175583,0.20915054963166566,0,0.0,0.3675632442184289,0.5675632442184289,0.3675632442184289
COMP_0018,5,1.806182915805139,0,0,1,0,0,0,0.3784971154842932,0.26099707340813255,0,0.0,0.17684859992109525,0.37684859992109526,0.17684859992109525
COMP_0019,5,3.094917005160266,0,0,0,1,0,0,0.027735104335978727,0.13340407600055568,0,0.0,0.054946190405576814,0.2549461904055768,0.054946190405576814
COMP_0020,39,2.2421934418763088,0,0,0,0,0,0,0.14866879065287755,0.2095213061998178,0,0.0,0.16812403397613637,0.36812403397613636,0.16812403397613637
COMP_0021,10,3.945713504960762,1,0,0,0,0,0,-0.1705794188843547,0.11456317833476658,0,0.0,0.2475209924470126,0.4475209924470126,0.2475209924470126
COMP_0022,12,0.5,0,1,0,0,0,0,-0.2587934306469536,0.11690048619760994,0,0.0,0.19865569290567447,0.3986556929056745,0.19865569290567447
COMP_0023,5,0.5,1,0,0,0,0,1,0.22671615636725498,0.37431805568283005,0,0.0,0.36099709068721697,0.560997090687217,0.36099709068721697
COMP_0024,7,0.8514814726197492,1,0,0,0,1,0,0.09916595595278942,0.268343514657792,0,0.0,0.302925060783156,0.502925060783156,0.302925060783156
COMP_0025,13,0.5214344595454501,1,0,0,0,1,0,0.2767769034697634,0.39434010972080624,1,17794850.97929235,0.2958929964845011,0.49589299648450114,0.49589299648450114
COMP_0026,5,6.162106671007194,0,1,0,0,0,0,-0.10601043334546237,0.07273611512501997,0,0.0,0.07441344132254724,0.27441344132254725,0.07441344132254724
